location,date,total_cases,total_deaths,death_rate
India,"2020-03-07 00:00:00",34,NULL,NULL
India,"2020-03-08 00:00:00",39,NULL,NULL
India,"2020-03-09 00:00:00",43,NULL,NULL
India,"2020-03-10 00:00:00",56,NULL,NULL
India,"2020-03-11 00:00:00",62,1,1.6129032258064515
India,"2020-03-12 00:00:00",73,1,1.36986301369863
India,"2020-03-13 00:00:00",82,2,2.4390243902439024
India,"2020-03-14 00:00:00",102,2,1.9607843137254901
India,"2020-03-15 00:00:00",113,2,1.7699115044247788
India,"2020-03-16 00:00:00",119,2,1.680672268907563
India,"2020-03-17 00:00:00",142,3,2.112676056338028
India,"2020-03-18 00:00:00",156,3,1.9230769230769231
India,"2020-03-19 00:00:00",194,4,2.0618556701030926
India,"2020-03-20 00:00:00",244,5,2.0491803278688523
India,"2020-03-21 00:00:00",330,4,1.2121212121212122
India,"2020-03-22 00:00:00",396,7,1.7676767676767675
India,"2020-03-23 00:00:00",499,10,2.004008016032064
India,"2020-03-24 00:00:00",536,10,1.8656716417910446
India,"2020-03-25 00:00:00",657,12,1.82648401826484
India,"2020-03-26 00:00:00",727,20,2.7510316368638237
India,"2020-03-27 00:00:00",887,20,2.254791431792559
India,"2020-03-28 00:00:00",987,24,2.43161094224924
India,"2020-03-29 00:00:00",1024,27,2.63671875
India,"2020-03-30 00:00:00",1251,32,2.5579536370903275
India,"2020-03-31 00:00:00",1397,35,2.505368647100931
India,"2020-04-01 00:00:00",1998,58,2.902902902902903
India,"2020-04-02 00:00:00",2543,72,2.8313016122689736
India,"2020-04-03 00:00:00",2567,72,2.8048305414881183
India,"2020-04-04 00:00:00",3082,86,2.790395846852693
India,"2020-04-05 00:00:00",3588,99,2.7591973244147154
India,"2020-04-06 00:00:00",4778,136,2.8463792381749684
India,"2020-04-07 00:00:00",5311,150,2.824326868762945
India,"2020-04-08 00:00:00",5916,178,3.008789722785666
India,"2020-04-09 00:00:00",6725,226,3.360594795539033
India,"2020-04-10 00:00:00",7598,246,3.2376941300342197
India,"2020-04-11 00:00:00",8446,288,3.409898176651669
India,"2020-04-12 00:00:00",9205,331,3.5958718087995654
India,"2020-04-13 00:00:00",10453,358,3.424854108868267
India,"2020-04-14 00:00:00",11487,393,3.421258814311831
India,"2020-04-15 00:00:00",12322,405,3.28680409024509
India,"2020-04-16 00:00:00",13430,448,3.3358153387937453
India,"2020-04-17 00:00:00",14352,486,3.38628762541806
India,"2020-04-18 00:00:00",15722,521,3.3138277572827883
India,"2020-04-19 00:00:00",17615,559,3.1734317343173433
India,"2020-04-20 00:00:00",18539,592,3.1932682453206755
India,"2020-04-21 00:00:00",20080,645,3.212151394422311
India,"2020-04-22 00:00:00",21370,681,3.186710341600375
India,"2020-04-23 00:00:00",23077,721,3.1243229189236037
India,"2020-04-24 00:00:00",24530,780,3.1797798613942114
India,"2020-04-25 00:00:00",26283,825,3.1389110832096794
India,"2020-04-26 00:00:00",27890,881,3.158838293295088
India,"2020-04-27 00:00:00",29451,939,3.188346745441581
India,"2020-04-28 00:00:00",31324,1008,3.217979823777296
India,"2020-04-29 00:00:00",33062,1079,3.263565422539471
India,"2020-04-30 00:00:00",34863,1154,3.3100995324556117
India,"2020-05-01 00:00:00",37257,1223,3.2826046112140004
India,"2020-05-02 00:00:00",39699,1323,3.3325776467921107
India,"2020-05-03 00:00:00",42505,1391,3.2725561698623693
India,"2020-05-04 00:00:00",46437,1566,3.3723108727954005
India,"2020-05-05 00:00:00",49400,1693,3.427125506072874
India,"2020-05-06 00:00:00",52987,1785,3.3687508256742222
India,"2020-05-07 00:00:00",56351,1889,3.35220315522351
India,"2020-05-08 00:00:00",59695,1985,3.325236619482369
India,"2020-05-09 00:00:00",62808,2101,3.3451152719398802
India,"2020-05-10 00:00:00",67161,2212,3.2935781182531527
India,"2020-05-11 00:00:00",70768,2294,3.2415781144019897
India,"2020-05-12 00:00:00",74292,2415,3.2506864803747377
India,"2020-05-13 00:00:00",78055,2551,3.2682083146499266
India,"2020-05-14 00:00:00",81997,2649,3.2306059977804065
India,"2020-05-15 00:00:00",85784,2753,3.209223165159004
India,"2020-05-16 00:00:00",90648,2871,3.167196187450357
India,"2020-05-17 00:00:00",95698,3025,3.1609856005350165
India,"2020-05-18 00:00:00",100328,3156,3.145682162506977
India,"2020-05-19 00:00:00",106475,3302,3.1011974641934725
India,"2020-05-20 00:00:00",112028,3434,3.0653051022958544
India,"2020-05-21 00:00:00",118226,3584,3.0314820767005566
India,"2020-05-22 00:00:00",124794,3726,2.98572046733016
India,"2020-05-23 00:00:00",131423,3868,2.9431682430016055
India,"2020-05-24 00:00:00",138536,4024,2.9046601605358897
India,"2020-05-25 00:00:00",144950,4172,2.8782338737495685
India,"2020-05-26 00:00:00",150793,4344,2.8807703275350978
India,"2020-05-27 00:00:00",158086,4534,2.868059157673671
India,"2020-05-28 00:00:00",165386,4711,2.8484877801023063
India,"2020-05-29 00:00:00",173491,4980,2.870465903130422
India,"2020-05-30 00:00:00",181827,5185,2.8516116968327037
India,"2020-05-31 00:00:00",190609,5408,2.837221747136809
India,"2020-06-01 00:00:00",198370,5608,2.82704037908958
India,"2020-06-02 00:00:00",207191,5829,2.8133461395523938
India,"2020-06-03 00:00:00",216824,6088,2.8078072538095413
India,"2020-06-04 00:00:00",226713,6363,2.806632173717431
India,"2020-06-05 00:00:00",236184,6649,2.815177996816042
India,"2020-06-06 00:00:00",246622,6946,2.8164559528347026
India,"2020-06-07 00:00:00",257486,7207,2.7989871293973265
India,"2020-06-08 00:00:00",265928,7473,2.8101591408200717
India,"2020-06-09 00:00:00",276146,7750,2.8064864238482543
India,"2020-06-10 00:00:00",286605,8102,2.8268871792187853
India,"2020-06-11 00:00:00",297535,8498,2.856134572403247
India,"2020-06-12 00:00:00",308993,8884,2.8751460389070305
India,"2020-06-13 00:00:00",320922,9195,2.865182193804102
India,"2020-06-14 00:00:00",332424,9520,2.8638124804466583
India,"2020-06-15 00:00:00",343091,9900,2.8855318268331143
India,"2020-06-16 00:00:00",354065,11903,3.3618120966489204
India,"2020-06-17 00:00:00",366946,12237,3.334823107487205
India,"2020-06-18 00:00:00",380532,12573,3.3040585285862947
India,"2020-06-19 00:00:00",395048,12948,3.2775763957797537
India,"2020-06-20 00:00:00",410451,13254,3.2291308828581244
India,"2020-06-21 00:00:00",425282,13699,3.2211567853800536
India,"2020-06-22 00:00:00",440215,14011,3.1827629680951355
India,"2020-06-23 00:00:00",456183,14476,3.1732879129647533
India,"2020-06-24 00:00:00",473105,14894,3.1481383625199477
India,"2020-06-25 00:00:00",490401,15301,3.1200996735324766
India,"2020-06-26 00:00:00",508953,15685,3.0818169850654185
India,"2020-06-27 00:00:00",528859,16095,3.0433442562195214
India,"2020-06-28 00:00:00",548318,16475,3.0046432909370107
India,"2020-06-29 00:00:00",566840,16893,2.9802060546185873
India,"2020-06-30 00:00:00",585481,17400,2.9719153994749616
India,"2020-07-01 00:00:00",604641,17834,2.949518805373767
India,"2020-07-02 00:00:00",625544,18213,2.9115457905439106
India,"2020-07-03 00:00:00",648315,18655,2.8774592597734125
India,"2020-07-04 00:00:00",673165,19268,2.862299733349179
India,"2020-07-05 00:00:00",697413,19693,2.8237213817350693
